Spanish,English
irse 32623,go 32623
perra 32592,bitch 32592
james 32572,james 32572
encuentro 32557,32557 meeting
encontró 32539,32539 found
pelea 32497,fight 32497
san 32450,san 32450
norte 32319,north 32319
quise 32250,I wanted 32250
coronel 32219,Colonel 32219
apuesto 32213,I bet 32213
peligroso 32210,dangerous 32210
viva 32204,viva 32204
max 32182,max 32182
vienes 32150,come 32150
necesitan 32121,need 32121
té 32049,tea 32049
excepto 32005,but 32005
juicio 31961,31961 trial
podamos 31904,we can 31904
llave 31899,key 31899
equivocado 31851,31851 wrong
posición 31835,31835 position
trasero 31796,rear 31796
irnos 31731,go 31731
espalda 31618,31618 back
excelente 31576,excellent 31576
éxito 31546,31546 success
modos 31533,31533 modes
ventana 31521,31521 window
veamos 31449,see 31449
especie 31439,31439 species
teníamos 31438,31438 had
diferencia 31428,Unlike 31428
formas 31423,31423 forms
pedir 31418,ask 31418
últimos 31416,last 31416
escúchame 31386,listen 31386
ejemplo 31354,example 31354
ése 31352,31352 that
radio 31316,31316 Radio
lee 31272,31272 reads
calma 31202,calm 31202
hogar 31190,31190 home
volveré 31148,I will 31148
fondo 31017,31017 background
humano 30936,human 30936
henry 30924,henry 30924
tí 30876,you 30876
iremos 30871,we will 30871
unidos 30863,States 30863
habían 30746,had 30746
jesús 30720,jesus 30720
planeta 30672,planet 30672
verme 30657,me 30657
respecto 30525,about 30525
regreso 30519,30519 return
debido 30518,because 30518
seré 30505,I will be 30505
tenían 30390,had 30390
leer 30383,read 30383
parar 30341,stop 30341
lleno 30333,full 30333
dejé 30321,I left 30321
respeto 30274,30274 respect
debajo 30209,below 30209
harry 30134,harry 30134
escribir 30111,write 30111
estación 30100,30100 station
pidió 30100,He called 30100
alta 30046,high-30046
pista 30000,30000 track
estrella 29938,29938 star
enfermo 29931,29931 sick
duele 29808,29808 hurts
sueños 29807,29807 dreams
veremos 29783,see 29783
miles 29772,29772 miles
darme 29767,me 29767
órdenes 29746,orders 29746
ocupado 29600,occupied 29600
sigues 29572,follow 29572
corre 29570,29570 runs
podido 29555,able 29555
dejes 29536,let 29536
nivel 29519,29519 level
habéis 29518,ye 29518
experiencia 29510,29510 experience
darte 29480,give 29480
salida 29479,output 29479
decirlo 29456,say 29456
confiar 29427,trust 29427
hacerte 29424,make 29424
necesitaba 29377,29377 she needed
hermanos 29333,brothers 29333
zapatos 29332,29332 shoes
color 29320,Color 29320
vistazo 29316,29316 glance
nena 29309,29309 babe
tratar 29257,29257 deal
parecer 29249,apparently 29249
juez 29177,judge 29177
próximo 29134,next 29134
paciente 29118,29118 patient
hayas 29081,have 29081
bolsa 29042,bag 29042
arte 29011,art 29011
mary 28973,mary 28973
jugando 28967,playing 28967
llevas 28896,take 28896
alegra 28887,28887 happy
bailar 28886,dancing 28886
diablo 28865,devil 28865
oí 28863,heard 28863
sepa 28810,know 28810
estarás 28804,you will be 28804
sur 28775,south 28775
banda 28768,band 28768
aprender 28760,learn 28760
precio 28723,Price 28723
completo 28715,complete 28715
santo 28659,santo 28659
culpable 28654,culpable 28654
ganas 28649,win 28649
tuvimos 28633,28633 had
you 28617,you 28617
verla 28616,see 28616
volvió 28609,28609 she returned
libros 28603,28603 books
ojo 28589,28589 eye
serán 28588,will be 28588
cielos 28554,28554 skies
matado 28480,28480 killed
azul 28477,blue 28477
diferentes 28472,28472 different
irte 28442,go 28442
ia 28426,IA 28426
comandante 28382,commander 28382
acción 28381,action 28381
reglas 28301,28301 rules
obra 28275,work 28275
esperanza 28234,28234 hope
cuestión 28230,28230 question
molesta 28230,28230 upset
teniendo 28223,having 28223
bill 28210,Bill 28210
informe 28207,28207 report
jimmy 28145,jimmy 28145
río 28133,28133 river
bienvenido 28108,Welcome 28108
abrir 28090,open 28090
tocar 28076,touch 28076
bob 28053,bob 28053
contar 28052,28052 count
sigo 28033,still 28033
interior 27979,Interior 27979
apartamento 27936,Apartment 27936
vea 27885,see 27885
estados 27876,27876 states
estáis 27855,you are 27855
preocupa 27847,27847 worries
tomó 27846,He took 27846
principal 27776,main 27776
empieza 27717,27717 begins
londres 27684,London 27684
empezó 27667,27667 began
vayan 27643,go 27643
jim 27640,jim 27640
llaman 27639,call 27639
ojalá 27609,hopefully 27609
perdona 27596,27596 forgives
vuelvo 27583,27583 back
golpe 27552,hit 27552
quedarme 27529,stay 27529
llamaré 27497,I call 27497
acabado 27494,27494 finish
estilo 27487,style 27487
nueve 27477,nine 27477
definitivamente 27474,definitely 27474
quedar 27451,be 27451
cartas 27437,27437 letters
bomba 27431,pump 27431
guardia 27405,guard 27405
pistola 27403,gun 27403
probar 27381,try 27381
majestad 27352,27352 majesty
traer 27310,bring 27310
marcha 27262,march 27262
pareces 27231,you look 27231
común 27165,common 27165
aquel 27160,27160 that
hacerle 27153,give 27153
vuelo 27150,27150 flight
nota 27132,Note 27132
danny 27097,danny 27097
humanos 27056,human 27056
estaremos 27050,We will be 27050
valor 27034,value 27034
suyo 26925,his 26925
objetivo 26881,target 26881
repente 26871,suddenly 26871
debía 26858,He was 26858
rojo 26834,red 26834
bromeando 26828,joking 26828
irá 26819,will go 26819
entrada 26809,entry 26809
doble 26787,double 26787
dejaré 26734,I will leave 26734
evitar 26731,avoiding 26731
máquina 26692,26692 machine
cuello 26607,neck 26607
conocí 26576,I met 26576
tiempos 26575,26575 times
tome 26557,take 26557
nick 26552,nick 26552
animales 26546,animals 26546
alex 26535,alex 26535
acaso 26523,case 26523
tuviera 26513,26513 had
pareja 26503,26503 couple
verano 26486,26486 summer
escuché 26474,I heard 26474
ama 26468,He loves 26468
serás 26457,you will be 26457
mentira 26429,lying 26429
tarjeta 26408,26408 card
hagan 26381,do 26381
perdí 26358,I lost 26358
correr 26352,run 26352
steve 26340,steve 26340
traído 26331,brought 26331
llegue 26329,reaches 26329
preparado 26318,prepared 26318
haberlo 26304,having 26304
tony 26298,tony 26298
usa 26278,uses 26278
intentar 26247,try 26247
ayudarme 26237,26237 help
flores 26230,flowers 26230
dando 26212,giving 26212
vos 26194,26194 vos
opción 26177,option 26177
isla 26148,26148 island
cierra 26144,closed 26144
piel 26126,26126 skin
enemigo 26121,enemy 26121
dejo 26109,leave 26109
exacto 26087,26087 exact
imbécil 26010,imbecile 26010
jóvenes 26000,26000 young
pedido 25956,order 25956
larga 25955,long 25955
entiende 25917,understands 25917
justicia 25899,justice 25899
nuevos 25896,new 25896
obviamente 25797,obviously 25797
despierta 25791,wakes 25791
pido 25720,ask 25720
calor 25680,heat 25680
luces 25666,lights 25666
refiero 25660,mean 25660
fuimos 25657,we went 25657
batalla 25619,battle 25619
déjalo 25614,let 25614
intenta 25538,tries 25538
sarah 25528,sarah 25528
fantástico 25493,fantastic 25493
brazo 25423,25423 arm
absolutamente 25418,absolutely 25418
llena 25341,full 25341
hacerme 25312,me 25312
salga 25286,25286 out
recordar 25282,25282 remember
escapar 25248,escape 25248
bosque 25245,25245 forest
gay 25217,gay 25217
señores 25187,Mr. 25187
quedan 25181,are 25181
piernas 25117,25117 legs
visita 25113,25113 visit
parís 25111,25111 Paris
usando 25109,using 25109
ganado 25106,25106 cattle
movimiento 25097,25097 movement
blanca 25080,white 25080
rico 25019,Rico 25019
inocente 24983,24983 innocent
pesar 24982,Although 24982
absoluto 24982,absolute 24982
vacaciones 24975,24975 holiday
um 24948,um 24948
mismos 24932,same 24932
tomado 24901,taken 24901
habías 24885,24885 had
planes 24830,plans 24830
cine 24776,cinema 24776
toca 24753,24753 plays
brillante 24750,24750 bright
confianza 24733,trust 24733
vuestra 24707,your 24707
nombres 24706,24706 names
especialmente 24660,especially 24660
fbi 24627,fbi 24627
embarazada 24625,24625 pregnant
esperen 24616,24616 wait
pantalones 24609,pants 24609
defensa 24602,defense 24602
terminó 24592,He ended 24592
salido 24556,24556 out
estupendo 24491,super 24491
jane 24469,jane 24469
presión 24457,pressure 24457
inmediatamente 24410,immediately 24410
testigo 24402,24402 witness
deberían 24391,should 24391
olvidado 24378,24378 forgotten
soldados 24372,24372 soldiers
resulta 24353,24353 results
tommy 24300,tommy 24300
depende 24282,24282 depends
motivo 24276,24276 reason
inglés 24267,English 24267
suya 24246,his 24246
estudio 24243,study 24243
acabar 24230,24230 finish
sentimientos 24182,feelings 24182
tomando 24154,taking 24154
dieron 24125,They gave 24125
parecen 24063,seem 24063
llaves 24052,24052 keys
perros 24037,24037 dogs
propósito 24020,purpose 24020
noticia 24010,24010 news
partir 23967,23967 from
vuestro 23967,your 23967
metros 23962,23962 meters
santa 23959,santa 23959
quedarse 23947,stay 23947
clientes 23929,23929 customers
podrá 23914,you can 23914
cuántas 23906,many 23906
ridículo 23895,23895 ridiculous
damas 23894,ladies 23894
estuviste 23886,Been 23886
tranquila 23875,quiet 23875
operación 23863,operation 23863
come 23861,eat 23861
empresa 23858,23858 company
ayúdame 23854,Help 23854
laboratorio 23848,23848 laboratory
elección 23826,23826 choice
menudo 23817,often 23817
beso 23794,kiss 23794
copa 23750,23750 Cup
conversación 23746,23746 conversation
brazos 23717,arms 23717
espíritu 23706,spirit 23706
dejas 23660,let 23660
cansado 23628,tired 23628
interesa 23602,23602 interests
refieres 23567,mean 23567
casado 23560,married 23560
enorme 23535,huge 23535
asuntos 23521,23521 matters
fe 23518,faith 23518
muestra 23509,shows 23509
trampa 23494,23494 trap
ray 23492,ray 23492
billy 23444,billy 23444
memoria 23432,23432 memory
johnny 23426,johnny 23426
contrario 23421,Conversely 23421
soldado 23421,23421 soldier
subir 23413,up 23413
turno 23409,shift 23409
encantaría 23397,23397 love
preocupado 23389,23389 concerned
restaurante 23371,restaurant 23371
saliendo 23368,23368 out
escrito 23334,written 23334
cálmate 23322,23322 Calm down
bienvenida 23320,welcome 23320
caer 23298,23298 fall
llevaré 23274,I will take 23274
leche 23267,23267 milk
estrellas 23265,stars 23265
prefiero 23230,I prefer 23230
red 23197,23197 network
viejos 23172,23172 old
solamente 23166,only 23166
oiga 23159,hear 23159
estén 23127,are 23127
cuentas 23115,23115 accounts
taxi 23114,Taxi 23114
anillo 23113,ring 23113
richard 23102,richard 23102
preguntar 23053,ask 23053
victoria 23042,23042 victory
quiénes 23032,About 23032
héroe 23032,hero 23032
pequeños 23029,small 23029
decidido 23006,23006 decided
películas 22995,22995 movies
responsable 22954,responsible 22954
trago 22952,22952 swallow
volverá 22878,will return 22878
árbol 22850,22850 tree
ibas 22845,you were 22845
dientes 22805,teeth 22805
encantado 22800,22800 enchanted
camión 22794,22794 truck
vender 22769,sell 22769
llame 22752,call 22752
detente 22743,detente 22743
luchar 22738,fight 22738
cabo 22732,22732 out
ruido 22718,noise 22718
lucha 22712,22712 fight
muere 22695,22695 dies
reloj 22691,22691 clock
gato 22686,cat 22686
averiguar 22670,find 22670
volar 22653,22653 fly
vayamos 22640,we go 22640
tanta 22574,so 22574
vendrá 22548,come 22548
corriendo 22534,22534 running
yendo 22518,going 22518
colegio 22498,22498 school
sonido 22444,sound 22444
caballero 22412,knight 22412
pasada 22393,last 22393
código 22378,code 22378
hagamos 22349,do 22349
imagen 22339,22339 image
riesgo 22336,22336 risk
llegamos 22327,we 22327
alguno 22317,no 22317
pan 22311,22311 bread
millón 22303,22303 million
malas 22295,22295 bad
dama 22292,lady 22292
hielo 22276,ice 22276
coño 22270,pussy 22270
cayó 22244,He fell 22244
prensa 22244,22244 press
querer 22219,22219 wanting
vengan 22202,come 22202
eddie 22197,eddie 22197
caminar 22142,walking 22142
televisión 22129,22129 TV
pasará 22111,It will 22111
momentos 22109,22109 times
coger 22105,take 22105
posibilidad 22104,possibility 22104
hubiese 22099,22099 had
mark 22087,mark 22087
asiento 22080,22080 seat
tuviste 22061,you had 22061
herido 22044,22044 wounded
maría 22039,Maria 22039
seguramente 22019,surely 22019
proyecto 22007,22007 project
pared 21999,wall 21999
sentí 21974,I felt 21974
sospechoso 21933,suspicious 21933
naturaleza 21922,nature 21922
ésa 21914,21914 that
silla 21910,21910 chair
perdió 21883,lost 21883
robert 21882,robert 21882
policías 21865,21865 police
arreglar 21854,21854 fix
sentado 21849,sitting 21849
papi 21806,papi 21806
ideas 21803,Ideas 21803
obtener 21789,get 21789
felices 21789,happy 21789
señoría 21787,lordship 21787
cantidad 21766,number 21766
bebe 21749,bebe 21749
mírame 21736,Look 21736
chris 21736,chris 21736
papa 21732,Pope 21732
llorar 21694,mourn 21694
quedó 21686,He was 21686
familiar 21678,21678 family
desastre 21670,21670 disaster
locos 21665,21665 locos
escuche 21649,listen 21649
quedarte 21600,stay 21600
política 21599,political 21599
pedí 21552,I asked 21552
sois 21542,you are 21542
nosotras 21518,21518 us
will 21495,Will 21495
enfermedad 21473,21473 illness
encontraron 21470,21470 found
colega 21456,21456 colleague
príncipe 21442,prince 21442
verde 21441,green 21441
bajar 21421,lower 21421
nervioso 21417,nervous 21417
vengo 21415,come 21415
inspector 21393,inspector 21393
sirve 21373,It serves 21373
puertas 21366,doors 21366
fuerzas 21362,21362 forces
playa 21337,beach 21337
cantar 21325,sing 21325
déjeme 21323,let me 21323
velocidad 21309,speed 21309
total 21272,Total 21272
cabello 21256,hair 21256
suficientemente 21229,21229 enough
huellas 21222,21222 footprints
haberte 21198,21198 sorry
debí 21196,I should 21196
unidad 21181,unit 21181
estan 21171,are 21171
cuchillo 21138,knife 21138
t 21127,t 21127
oigan 21109,hear 21109
quienes 21083,who 21083
gana 21078,wins 21078
tonterías 21068,nonsense 21068
emergencia 21060,21060 emergency
perfecta 21035,perfect 21035
hable 21026,Talk 21026
gustaba 21015,21015 she liked
lugares 21005,21005 places
ryan 20997,ryan 20997
show 20965,show 20965
robo 20955,20955 theft
permite 20946,allows 20946
parque 20907,park 20907
uds. 20900,You. 20900
roto 20900,20900 broken
serie 20857,20857 series
puse 20843,I put 20843
nuevas 20833,new 20833
evidencia 20831,evidence 20831
conocerte 20819,20819 meet
estúpida 20818,stupid 20818
preocupe 20779,20779 worry
perdone 20775,forgive 20775
botella 20774,bottle 20774
viento 20773,20773 wind
mando 20743,20743 control
extraña 20742,strange 20742
historias 20732,20732 stories
aquella 20688,20688 that
tenéis 20682,have 20682
solos 20664,"20,664 alone"
apoyo 20643,20643 support
bala 20634,20634 bullet
verdadera 20627,true 20627
tiro 20610,20610 shot
época 20604,20604 times
puente 20603,20603 bridge
olvídalo 20576,forget 20576
distancia 20553,20553 distance
desea 20441,want 20441
dejarlo 20439,leave 20439
pelear 20435,fight 20435
pierna 20434,leg 20434
echar 20410,take 20410
descanso 20410,break 20410
américa 20401,america 20401
área 20386,area 20386
orgulloso 20378,proud 20378
datos 20352,20352 data
espectáculo 20331,20331 show
sube 20325,20325 up
dejaste 20322,left 20322
acabas 20315,just 20315
verá 20295,you will see 20295
magia 20292,20292 magic
nacional 20291,national 20291
universo 20289,20289 universe
llevaba 20253,He is carrying 20253
necesitar 20251,need 20251
nariz 20247,nose 20247
aquellos 20238,those 20238
clases 20203,20203 classes
jake 20197,jake 20197
casas 20193,20193 homes
vergüenza 20189,shame 20189
estarán 20164,will be 20164
monstruo 20156,monster 20156
princesa 20154,princess 20154
autobús 20079,20079 bus
cuidar 20066,caring 20066
ei 20063,ei 20063
huevos 20054,20054 eggs
pocos 20047,few 20047
podrás 20047,You can 20047
enferma 20044,20044 sick
paseo 20024,20024 ride
detalles 20017,details 20017
llamadas 19977,calls 19977
belleza 19964,beauty 19964
francia 19957,France 19957
abierto 19934,19934 open
viviendo 19922,living 19922
envió 19919,He sent 19919
puntos 19907,19907 points
ministro 19906,Minister 19906
conducir 19903,19903 driver
aceptar 19883,accept 19883
borracho 19877,drunken 19877
animal 19868,Animal 19868
caballos 19849,19849 horses
trajo 19847,He brought 19847
contrato 19843,19843 contract
viernes 19829,19829 Friday
bobby 19818,bobby 19818
martin 19801,martin 19801
amy 19792,amy 19792
bienvenidos 19776,Welcome 19776
ex 19776,ex 19776
hechos 19742,19742 facts
sociedad 19735,society 19735
dra. 19714,dra. 19714
tengan 19713,are 19713
quede 19709,stay 19709
inglaterra 19670,England 19670
carga 19641,loading 19641
diste 19621,gave 19621
puto 19606,puto 19606
lleve 19572,carry 19572
presente 19563,"this 19,563"
